,geo_value,time_value,children cant covid
3152,36055,2021-06-06,4.6009326
3153,36059,2021-06-06,4.5674856
3154,36061,2021-06-06,8.6154112
3155,36067,2021-06-06,5.9278772
3156,36081,2021-06-06,9.1347685
3157,36103,2021-06-06,6.8902947
3158,36119,2021-06-06,7.3026383
3246,6000,2021-06-07,6.2596961
3247,6001,2021-06-07,6.6270819
3248,6013,2021-06-07,6.6685315
3249,6019,2021-06-07,14.903182
3250,6029,2021-06-07,9.4705381
3251,6037,2021-06-07,10.7636006
3252,6059,2021-06-07,7.4819329
3253,6065,2021-06-07,7.7113798
3254,6067,2021-06-07,12.7386231
3255,6071,2021-06-07,10.7657595
3256,6073,2021-06-07,7.0074803
3257,6075,2021-06-07,3.2737476
3258,6077,2021-06-07,13.2985325
3259,6081,2021-06-07,8.6111679
3260,6085,2021-06-07,7.3295487
3261,6095,2021-06-07,6.359406
3262,6097,2021-06-07,6.5528029
3263,6099,2021-06-07,6.5527827
3264,6111,2021-06-07,15.9078707
3368,36000,2021-06-07,6.3948792
3369,36005,2021-06-07,17.6754818
3370,36029,2021-06-07,7.1924727
3371,36047,2021-06-07,5.7781764
3372,36055,2021-06-07,4.4707204
3373,36059,2021-06-07,8.0936305
3374,36061,2021-06-07,7.720814
3375,36067,2021-06-07,6.1261106
3376,36081,2021-06-07,10.1880596
3377,36103,2021-06-07,7.0255994
3378,36119,2021-06-07,4.7359098
3465,6000,2021-06-08,6.3513362
3466,6001,2021-06-08,5.6997168
3467,6013,2021-06-08,5.4901139
3468,6019,2021-06-08,14.3328458
3469,6029,2021-06-08,8.4207683
3470,6037,2021-06-08,10.6735591
3471,6059,2021-06-08,7.5229478
3472,6065,2021-06-08,6.844929
3473,6067,2021-06-08,13.3584189
3474,6071,2021-06-08,10.3811527
3475,6073,2021-06-08,7.8300492
3476,6075,2021-06-08,3.7809734
3477,6077,2021-06-08,11.2317814
3478,6081,2021-06-08,8.4634931
3479,6085,2021-06-08,9.505058
3480,6095,2021-06-08,10.5305909
3481,6097,2021-06-08,5.9752667
3482,6099,2021-06-08,7.6361625
3483,6111,2021-06-08,17.0259879
3582,36000,2021-06-08,7.1303153
3583,36005,2021-06-08,17.4338793
3584,36029,2021-06-08,6.3975353
3585,36047,2021-06-08,6.6950834
3586,36055,2021-06-08,7.2036254
3587,36059,2021-06-08,8.4262113
3588,36061,2021-06-08,7.499812
3589,36067,2021-06-08,5.4684294
3590,36081,2021-06-08,10.4257693
3591,36103,2021-06-08,7.4145924
3592,36119,2021-06-08,6.0597721
3675,6000,2021-06-09,7.6173319
